no,x,y,shape_labels,video_labels
1,0.9791805744,-0.5456339717,1,6
1,1.1394715309,-0.2109718621,1,6
1,1.4629573822,0.255954951,1,6
1,2.095233202,-0.2756069005,1,6
1,1.3257372379,-0.7305954099,1,6
1,1.1816117764,-0.0827105418,1,6
1,1.4609293938,-0.0566213503,1,6
1,0.8484585285,-0.2478850186,1,6
1,1.4875802994,-0.3329618275,1,6
1,1.2236031294,-0.0480240956,1,6
1,1.7372069359,-0.1990049183,1,6
1,0.9622505903,-0.2218106091,1,6
1,1.1403501034,-0.0870728865,1,6
1,1.4476965666,-0.3792696297,1,6
1,1.7269794941,-0.0772382393,1,6
1,1.4739632607,-0.2813903391,1,6
1,1.597571969,-0.473529011,1,6
1,1.3802083731,-0.3914091885,1,6
1,1.4118672609,-0.159293443,1,6
1,0.9211370945,-0.6689714789,1,6
1,0.8691785336,-0.2677076161,1,6
1,1.6768085957,0.0328840837,1,6
1,0.8965835571,-0.4721684754,1,6
1,1.1990963221,-0.2569024861,1,6
1,1.0805840492,-0.1367636025,1,6
1,1.7332042456,-0.2086394131,1,6
1,1.2486209869,-0.1369315684,1,6
1,1.1395456791,-0.3686081469,1,6
1,1.0791412592,0.0478733405,1,6
1,1.047924161,-0.2401616871,1,6
1,1.4261566401,-0.5574563146,1,6
1,1.3839137554,-0.4277941287,1,6
1,1.5098227262,0.0642559156,1,6
1,1.285022378,-0.0413496867,1,6
1,1.295874238,-0.2857325375,1,6
1,1.473077178,-0.2993731797,1,6
1,1.3445296288,0.0220989808,1,6
1,1.5864677429,-0.1962862313,1,6
1,1.4834314585,-0.3455809653,1,6
1,1.4355635643,-0.4906125367,1,6
1,1.4198774099,-0.4286734164,1,6
1,1.4171876907,-0.2452875674,1,6
1,0.7791749835,-0.4250507653,1,6
1,0.8415122032,-0.1106460467,1,6
1,0.7319664359,-0.8108760715,1,6
1,0.5365442634,-0.9320598245,1,7
1,1.1843911409,-0.580930531,1,7
1,1.1024867296,-0.6633458734,1,7
1,1.7157512903,-0.3730340302,1,7
1,1.466183424,-0.9014015794,1,7
1,2.0887722969,-0.8668565154,1,7
1,0.606010437,-0.1449899971,1,7
1,-0.1315522343,0.4895629585,1,7
1,0.49223876,0.0484809503,1,7
1,-0.0102881342,0.2176763713,1,7
1,0.2659295797,-0.1110778227,1,7
1,0.5401470065,-0.1552770436,1,7
1,0.9283248186,0.0594272241,1,7
1,0.9526435137,-0.5255494714,1,7
1,0.918230772,0.4976026714,1,7
1,1.6593670845,0.2696793973,1,7
1,0.7762640715,0.0021907911,1,7
1,1.0301542282,-0.4207141697,1,7
1,1.8858733177,-0.3874295056,1,7
1,1.2364679575,-0.5426864028,1,7
1,1.2673374414,-0.6270511746,1,7
1,1.2122823,-0.5002415776,1,7
1,1.3033505678,-0.4425453246,1,7
1,1.3501176834,-0.1052699462,1,7
1,1.6578723192,0.2756523788,1,7
1,1.2088558674,-0.4965832531,1,7
1,1.660736084,-0.0157924071,1,7
1,2.1362164021,0.5061369538,1,7
1,0.9066691995,0.0760836229,1,7
1,1.4270658493,-0.1709018052,1,7
1,1.1576696634,-0.027899541,1,7
1,0.8977608085,-0.1309252083,1,7
1,0.8703268766,-0.3607778847,1,7
1,0.8560421467,-0.7526604533,1,7
1,1.0519949198,-0.0808079615,1,7
1,1.0322142839,-0.2909977734,1,7
1,1.6341429949,-0.7818463445,1,7
1,1.3706921339,-0.4306911528,1,7
1,1.4022884369,-0.1554038823,1,7
1,1.9792017937,-0.4105512202,1,7
1,2.1978461742,-0.3139237463,1,7
1,2.0718202591,-0.4656817019,1,7
1,2.3609108925,-0.3909163773,1,7
1,1.5063282251,-0.2537955344,1,7
1,1.7530758381,-0.263680011,1,7
1,1.3066017628,-0.3768239319,1,7
1,0.9456992149,-0.0313139334,1,7
1,0.9182665348,-0.2935006917,1,7
1,1.598554492,0.1312057674,1,7
1,1.7595169544,-0.1754788458,1,7
1,1.8358488083,-0.1006150618,1,7
1,1.7505162954,-0.538452208,1,7
1,1.7705585957,-0.2186632454,1,7
1,1.2700065374,-0.1218920127,1,7
1,0.7451924086,-0.2244379818,1,7
1,0.5202867985,-0.2367490828,1,7
1,0.3828921914,-0.4539599717,1,7
1,0.9553924203,-0.4197050631,1,7
1,0.9447497725,-0.5042652488,1,7
1,0.4986525774,-0.6407714486,1,7
1,1.5534636974,-0.7582508922,1,8
1,1.3683823347,-1.0704829693,1,8
1,1.2300831079,-0.3387317955,1,8
1,1.9109499454,-0.3349118531,1,8
1,1.765854001,-0.5884584785,1,8
1,1.6277421713,0.2122766674,1,8
1,0.2915941477,0.3566140831,1,8
1,0.4264752865,0.1378745735,1,8
1,1.1888046265,0.3589625061,1,8
1,0.3727732897,0.3053686321,1,8
1,1.1469899416,-0.0088572875,1,8
1,0.9749048948,0.1806552112,1,8
1,0.4221271276,0.0028113946,1,8
1,1.1707979441,-0.1812485754,1,8
1,1.7388304472,-0.1801684201,1,8
1,1.1924906969,0.1516434848,1,8
1,0.978127718,-0.3058698475,1,8
1,0.4261059165,0.0973366126,1,8
1,1.3143162727,-0.1399531662,1,8
1,1.3571563959,-0.9374973178,1,8
1,0.922753334,-0.0278239623,1,8
1,1.0761947632,-0.099431552,1,8
1,1.620682478,-0.1604175866,1,8
1,1.5984277725,-0.0700509921,1,8
1,1.7184779644,0.1077267751,1,8
1,0.5184269547,0.5209147334,1,8
1,0.4027897716,0.1886346042,1,8
1,0.9027081728,-0.2602663338,1,8
1,0.9386767745,-0.4566583931,1,8
1,1.1661763191,-0.9216089845,1,8
1,1.0964305401,-0.5915203691,1,8
1,1.1506996155,-0.1759759486,1,8
1,1.4267122746,-0.427701503,1,8
1,1.2241728306,-0.749445498,1,8
1,1.4386399984,-0.2863370478,1,8
1,0.8687468171,-0.567265451,1,8
1,0.5133414865,-0.3088110983,1,8
1,0.877147913,-0.2385326922,1,8
1,1.4895210266,-0.2078080475,1,8
1,1.4078599215,-0.5452074409,1,8
1,1.1895569563,-0.490326196,1,8
1,1.4412410259,-0.5420901179,1,8
1,1.5486022234,-0.3766920865,1,8
1,1.4680571556,-0.4180764258,1,8
1,1.2532989979,-0.1538567841,1,8
1,0.8945029974,-0.4766898453,1,8
1,0.3355975747,-0.4586143792,1,8
1,0.6374974251,-0.2264352143,1,8
1,0.511865139,-0.3471291363,1,8
1,1.0022195578,0.0051499233,1,8
1,1.3584599495,-0.2452569306,1,8
1,1.3307982683,-0.1997639239,1,8
1,1.8176752329,-0.4797171652,1,8
1,1.3537449837,-0.2483396828,1,8
1,1.1326954365,-0.4199531376,1,8
1,0.5446683168,-0.2056515515,1,8
1,1.0014942884,0.2287320793,1,8
1,0.8013529181,-0.7365224957,1,8
1,0.5497962832,-2.5728597641,1,8
1,0.5373812318,-0.3430667222,1,8
1,1.0285283327,-0.7736760974,1,9
1,1.3787779808,-0.3036201298,1,9
1,1.6509437561,-0.6616719365,1,9
1,1.5199044943,-0.6855629086,1,9
1,0.932682991,-0.9939691424,1,9
1,1.3800114393,0.2553012073,1,9
1,0.7428793907,-0.2692599595,1,9
1,0.5305896997,-0.2190285027,1,9
1,1.0253528357,0.4723567665,1,9
1,0.9345215559,0.5427579284,1,9
1,0.8142902851,-0.3501960337,1,9
1,0.1531698257,-0.3544891179,1,9
1,1.5877196789,0.2996813953,1,9
1,1.2006210089,-0.1002388373,1,9
1,1.2198209763,-0.0995002165,1,9
1,0.8153967261,-0.2379830182,1,9
1,0.9891842604,-0.7316473126,1,9
1,1.188591361,-0.8473498225,1,9
1,1.909591198,-1.6529363394,1,9
1,1.7732807398,-0.676672399,1,9
1,1.2674092054,-0.5012349486,1,9
1,0.9722115993,-0.9279641509,1,9
1,0.9974219799,-1.1200143099,1,9
1,-0.2074670047,0.1606468856,1,9
1,0.9447108507,0.6191465259,1,9
1,0.8010600209,0.8133258224,1,9
1,1.3096400499,0.9606332183,1,9
1,0.6538955569,0.4684158266,1,9
1,0.9702641964,0.6029214263,1,9
1,1.3861523867,-0.1274426281,1,9
1,1.292653203,-0.167804867,1,9
1,1.5751535892,-0.0939188376,1,9
1,1.1790369749,-0.2902577221,1,9
1,0.995778203,-0.1626425087,1,9
1,1.4148048162,-0.3962338269,1,9
1,0.9979661703,-0.3929957449,1,9
1,1.1510124207,-0.3339323103,1,9
1,0.6178472042,-0.5998641849,1,9
1,0.8899305463,-0.507050693,1,9
1,1.3799266815,-0.5454278588,1,9
1,0.8799948692,-0.6582710147,1,9
1,1.687240243,-0.8300154805,1,9
1,1.0945253372,0.2093511522,1,9
1,1.3031895161,-0.0023765936,1,9
1,1.4590244293,-0.5184369683,1,9
1,1.6642175913,-0.2596117556,1,9
1,1.9723563194,-0.3753269017,1,9
1,1.1173818111,-0.636859715,1,9
1,1.9642235041,-0.5419240594,1,9
1,1.1758428812,-0.1625263989,1,9
1,1.4372172356,0.0264006481,1,9
1,1.1927723885,-0.1710064709,1,9
1,1.5979466438,-0.2239488661,1,9
1,0.9443215132,-0.4696513712,1,9
1,1.4340829849,0.1904872358,1,9
1,1.1897413731,-0.2068819106,1,9
1,1.2407683134,-0.8885688186,1,9
1,0.757905364,0.170386523,1,9
1,0.6031857133,-0.3638166487,1,9
1,0.4954892993,-1.2932639122,1,9
1,1.4505274296,-1.1742440462,1,10
1,0.8416918516,-1.0527245998,1,10
1,1.2837283611,-0.8028076291,1,10
1,1.0321669579,-1.1745574474,1,10
1,1.6018784046,-0.7849094272,1,10
1,0.7089672685,-0.9770324826,1,10
1,1.2009906769,-0.8933908343,1,10
1,1.1381013393,0.0305721387,1,10
1,0.888800025,0.1319400966,1,10
1,0.5441523194,0.2928299606,1,10
1,0.8590601683,0.1655873954,1,10
1,0.8554992676,0.4640717208,1,10
1,0.5805820227,0.0475874767,1,10
1,1.0539213419,0.1323170364,1,10
1,1.5060105324,-0.008909978,1,10
1,1.5992172956,0.2060546577,1,10
1,1.8164920807,-0.1217854396,1,10
1,1.4285763502,-0.523153007,1,10
1,1.7229481936,-0.5589986444,1,10
1,1.3759474754,-0.2690377533,1,10
1,1.4970269203,-0.1961843073,1,10
1,1.397605896,-0.2293010056,1,10
1,1.9979697466,-0.0361831561,1,10
1,1.8998399973,-0.4830462039,1,10
1,1.3302359581,-0.7448646426,1,10
1,1.4325264692,-0.9181669354,1,10
1,1.4872208834,-0.6261120439,1,10
1,1.4118640423,-0.3399495184,1,10
1,1.3400337696,-0.4063812792,1,10
